product_category,Órdenes,Ingresos Total,Precio Promedio,Rating,On-Time %,Días Entrega
bed_bath_table,11115,1036988.68,93.3,3.9,0.91,12.34
health_beauty,9670,1258681.34,130.16,4.14,0.9,11.52
sports_leisure,8641,988048.97,114.34,4.11,0.91,11.69
furniture_decor,8334,729762.49,87.56,3.91,0.9,12.4
computers_accessories,7827,911954.32,116.51,3.93,0.9,12.78
housewares,6964,632248.66,90.79,4.05,0.92,10.46
watches_gifts,5991,1205005.68,201.14,4.02,0.9,12.19
telephony,4545,323667.53,71.21,3.95,0.9,12.38
garden_tools,4347,485256.46,111.63,4.04,0.91,13.23
auto,4235,592720.11,139.96,4.07,0.9,11.77
toys,4117,483946.6,117.55,4.16,0.91,11.23
cool_stuff,3796,635290.85,167.36,4.15,0.92,11.9
perfumery,3419,399124.87,116.74,4.16,0.91,11.28
baby,3065,411764.89,134.34,4.01,0.89,12.06
electronics,2767,160246.74,57.91,4.04,0.9,12.42
stationery,2517,230943.23,91.75,4.2,0.9,12.28
fashion_bags_accessories,2031,152823.54,75.25,4.15,0.92,10.62
pet_shop,1947,214315.41,110.07,4.18,0.93,10.76
office_furniture,1691,273960.7,162.01,3.49,0.9,20.39
consoles_games,1137,157465.22,138.49,4.02,0.89,13.14
luggage_accessories,1092,140429.98,128.6,4.32,0.94,10.19
construction_tools_construction,929,144677.59,155.73,4.05,0.91,10.29
home_appliances,771,80171.53,103.98,4.17,0.92,10.87
musical_instruments,680,191498.88,281.62,4.15,0.88,12.5
small_appliances,679,190648.58,280.78,4.15,0.92,10.33
home_construction,604,83088.12,137.56,3.94,0.91,12.76
books_general_interest,553,46856.88,84.73,4.45,0.91,11.17
food,510,29393.41,57.63,4.22,0.89,9.1
furniture_living_room,503,68916.56,137.01,3.9,0.91,13.29
home_confort,434,58572.04,134.96,3.84,0.89,13.04
drinks,379,22428.7,59.18,4.04,0.9,10.02
audio,364,50688.5,139.25,3.83,0.87,12.88
market_place,311,28378.47,91.25,4.02,0.95,11.68
construction_tools_lights,304,41080.0,135.13,4.05,0.91,9.25
air_conditioning,297,55024.96,185.27,3.97,0.94,11.79
kitchen_dining_laundry_garden_furniture,281,46328.37,164.87,3.97,0.93,11.45
food_drink,278,15179.48,54.6,4.31,0.92,10.45
industry_commerce_and_business,268,39669.61,148.02,4.1,0.92,10.31
books_technical,267,19096.06,71.52,4.36,0.9,10.23
fixed_telephony,264,59583.0,225.69,3.68,0.93,12.24
fashion_shoes,262,23562.77,89.93,4.25,0.93,14.93
home_appliances_2,238,113317.74,476.12,4.14,0.9,13.42
costruction_tools_garden,238,25715.89,108.05,4.05,0.91,11.43
agro_industry_and_commerce,212,72530.47,342.12,4.0,0.93,11.22
art,209,24202.64,115.8,3.94,0.88,10.87
computers,203,222963.13,1098.34,4.18,0.93,13.05
signaling_and_security,199,21509.23,108.09,4.09,0.95,9.97
construction_tools_safety,194,40544.52,208.99,3.84,0.9,11.43
christmas_supplies,153,8800.82,57.52,4.02,0.86,15.3
fashion_male_clothing,132,10797.82,81.8,3.64,0.89,12.47
fashion_underwear_beach,131,9541.55,72.84,3.98,0.85,13.28
furniture_bedroom,109,20028.78,183.75,4.12,0.87,12.76
costruction_tools_tools,103,15903.95,154.41,4.44,0.94,11.63
tablets_printing_image,83,7528.41,90.7,4.12,0.94,12.58
small_appliances_home_oven_and_coffee,76,47445.71,624.29,4.3,0.89,9.4
cine_photo,72,6933.46,96.3,4.19,0.9,10.13
dvds_blu_ray,64,5999.39,93.74,4.08,0.89,12.51
books_imported,60,4639.85,77.33,4.4,0.92,7.67
fashio_female_clothing,48,2803.64,58.41,3.75,0.88,11.49
party_supplies,43,4485.18,104.31,3.77,0.93,8.9
diapers_and_hygiene,39,1567.59,40.19,3.26,0.92,10.24
music,38,6034.35,158.8,4.21,0.95,11.16
furniture_mattress_and_upholstery,38,4368.08,114.95,3.82,0.84,13.89
flowers,33,1110.04,33.64,4.42,0.97,10.7
fashion_sport,30,2119.51,70.65,4.23,0.93,11.38
home_comfort_2,30,760.27,25.34,3.63,0.83,14.07
arts_and_craftmanship,24,1814.01,75.58,4.12,0.96,5.29
la_cuisine,14,2054.99,146.78,4.0,1.0,7.07
cds_dvds_musicals,14,730.0,52.14,4.64,1.0,10.36
fashion_childrens_clothes,8,569.85,71.23,4.5,0.88,8.14
security_and_services,2,283.29,141.64,2.5,1.0,15.0
