customer_state,Órdenes,Ingresos Total,Ticket Promedio,Rating,On-Time %
SP,47449,5202955.05,109.65,4.13,0.93
RJ,14579,1824092.67,125.12,3.81,0.85
MG,13129,1585308.03,120.75,4.09,0.93
RS,6235,750304.02,120.34,4.05,0.92
PR,5740,683083.76,119.0,4.11,0.94
SC,4176,520553.34,124.65,4.0,0.89
BA,3799,511349.99,134.6,3.82,0.84
DF,2406,302603.94,125.77,4.01,0.91
GO,2333,294591.95,126.27,3.99,0.91
ES,2256,275037.31,121.91,3.99,0.87
PE,1806,262788.03,145.51,3.95,0.87
CE,1478,227254.71,153.76,3.81,0.82
PA,1080,178947.81,165.69,3.79,0.86
MT,1055,156453.53,148.3,3.98,0.92
MA,824,119648.22,145.2,3.7,0.78
MS,819,116812.64,142.63,4.04,0.89
PB,602,115268.08,191.48,4.0,0.87
PI,542,86914.08,160.36,3.9,0.82
RN,529,83034.98,156.97,4.08,0.89
AL,444,80314.81,180.89,3.73,0.74
SE,385,58920.85,153.04,3.84,0.82
TO,315,49621.74,157.53,4.11,0.87
RO,278,46140.64,165.97,4.02,0.94
AM,165,22356.84,135.5,4.09,0.95
AC,92,15982.95,173.73,4.1,0.96
AP,82,13474.3,164.32,4.22,0.95
RR,52,7829.43,150.57,3.58,0.79
